state,zcta5,placefp,stab,placenm,zipname,pop10,afact
State code,ZIP census tabulation area,Place code,State abbreviation,Place name,ZCTA name,Total population (2010),zcta5 to placefp allocation factor
1,35020,7000,AL,"Birmingham city, AL","Bessemer, AL",33,1
1,35022,7000,AL,"Birmingham city, AL","Bessemer, AL",274,0.315
1,35022,35896,AL,"Hoover city, AL","Bessemer, AL",597,0.685
1,35023,7000,AL,"Birmingham city, AL","Hueytown, AL",134,1
1,35061,7000,AL,"Birmingham city, AL","Birmingham, AL",1330,1
1,35064,7000,AL,"Birmingham city, AL","Fairfield, AL",213,1
1,35068,7000,AL,"Birmingham city, AL","Fultondale, AL",138,1
1,35080,35896,AL,"Hoover city, AL","Helena, AL",619,1
1,35094,7000,AL,"Birmingham city, AL","Leeds, AL",113,1
1,35118,7000,AL,"Birmingham city, AL","Sylvan Springs, AL",34,1
1,35124,35896,AL,"Hoover city, AL","Pelham, AL",684,1
1,35130,7000,AL,"Birmingham city, AL","Quinton, AL",23,1
1,35173,7000,AL,"Birmingham city, AL","Trussville, AL",20,1
1,35203,7000,AL,"Birmingham city, AL","Birmingham, AL",3798,1
1,35204,7000,AL,"Birmingham city, AL","Birmingham, AL",10337,1
1,35205,7000,AL,"Birmingham city, AL","Birmingham, AL",19686,1
1,35206,7000,AL,"Birmingham city, AL","Birmingham, AL",17177,1
1,35207,7000,AL,"Birmingham city, AL","Birmingham, AL",7696,1
1,35208,7000,AL,"Birmingham city, AL","Birmingham, AL",14855,1
1,35209,7000,AL,"Birmingham city, AL","Homewood, AL",7596,1
1,35210,7000,AL,"Birmingham city, AL","Irondale, AL",4179,1
1,35211,7000,AL,"Birmingham city, AL","Birmingham, AL",26236,1
1,35212,7000,AL,"Birmingham city, AL","Birmingham, AL",11539,1
1,35213,7000,AL,"Birmingham city, AL","Mountain Brook, AL",3231,1
1,35214,7000,AL,"Birmingham city, AL","Forestdale, AL",8722,1
1,35215,7000,AL,"Birmingham city, AL","Birmingham, AL",20407,1
1,35216,35896,AL,"Hoover city, AL","Vestavia Hills, AL",15069,1
1,35217,7000,AL,"Birmingham city, AL","Tarrant, AL",4826,1
1,35218,7000,AL,"Birmingham city, AL","Birmingham, AL",7353,1
1,35221,7000,AL,"Birmingham city, AL","Birmingham, AL",4750,1
1,35222,7000,AL,"Birmingham city, AL","Birmingham, AL",7884,1
1,35223,7000,AL,"Birmingham city, AL","Mountain Brook, AL",529,1
1,35224,7000,AL,"Birmingham city, AL","Birmingham, AL",3191,1
1,35226,7000,AL,"Birmingham city, AL","Hoover, AL",391,0.015
1,35226,35896,AL,"Hoover city, AL","Hoover, AL",25648,0.985
1,35228,7000,AL,"Birmingham city, AL","Midfield, AL",4996,1
1,35233,7000,AL,"Birmingham city, AL","Birmingham, AL",1308,1
1,35234,7000,AL,"Birmingham city, AL","Birmingham, AL",6311,1
1,35235,7000,AL,"Birmingham city, AL","Birmingham, AL",8128,1
1,35242,7000,AL,"Birmingham city, AL","Hoover, AL",2126,0.159
1,35242,35896,AL,"Hoover city, AL","Hoover, AL",11269,0.841
1,35243,7000,AL,"Birmingham city, AL","Vestavia Hills, AL",1270,1
1,35244,35896,AL,"Hoover city, AL","Hoover, AL",27733,1
1,35254,7000,AL,"Birmingham city, AL","Birmingham, AL",1403,1
1,35401,77256,AL,"Tuscaloosa city, AL","Tuscaloosa, AL",38240,1
1,35404,77256,AL,"Tuscaloosa city, AL","Tuscaloosa, AL",16257,1
1,35405,77256,AL,"Tuscaloosa city, AL","Tuscaloosa, AL",23013,1
1,35406,77256,AL,"Tuscaloosa city, AL","Tuscaloosa, AL",11881,1
1,35453,77256,AL,"Tuscaloosa city, AL","Cottondale, AL",892,1
1,35473,77256,AL,"Tuscaloosa city, AL","Northport, AL",130,1
1,35475,77256,AL,"Tuscaloosa city, AL","Northport, AL",47,1
1,35476,77256,AL,"Tuscaloosa city, AL","Northport, AL",2,1
1,35490,77256,AL,"Tuscaloosa city, AL","Vance, AL",6,1
1,35601,20104,AL,"Decatur city, AL","Decatur, AL",32479,1
1,35603,20104,AL,"Decatur city, AL","Decatur, AL",22974,1
1,35613,37000,AL,"Huntsville city, AL","Athens, AL",65,1
1,35630,26896,AL,"Florence city, AL","Florence, AL",32070,1
1,35633,26896,AL,"Florence city, AL","Florence, AL",5973,1
1,35634,26896,AL,"Florence city, AL","Florence, AL",1276,1
1,35640,20104,AL,"Decatur city, AL","Hartselle, AL",135,1
1,35646,53016,AL,"Muscle Shoals city, AL","Leighton, AL",9,1
1,35660,53016,AL,"Muscle Shoals city, AL","Sheffield, AL",3,1
1,35661,53016,AL,"Muscle Shoals city, AL","Muscle Shoals, AL",12747,1
1,35671,20104,AL,"Decatur city, AL","Tanner, AL",84,0.933
1,35671,37000,AL,"Huntsville city, AL","Tanner, AL",6,0.067
1,35673,20104,AL,"Decatur city, AL","Trinity, AL",11,1
1,35674,53016,AL,"Muscle Shoals city, AL","Tuscumbia, AL",387,1
1,35741,37000,AL,"Huntsville city, AL","Huntsville, AL",1628,1
1,35748,37000,AL,"Huntsville city, AL","Gurley, AL",124,1
1,35749,37000,AL,"Huntsville city, AL","Harvest, AL",679,1
1,35756,37000,AL,"Huntsville city, AL","Madison, AL",1077,1
1,35757,37000,AL,"Huntsville city, AL","Madison, AL",2853,1
1,35758,37000,AL,"Huntsville city, AL","Madison, AL",1970,1
1,35759,37000,AL,"Huntsville city, AL","Meridianville, AL",99,1
1,35763,37000,AL,"Huntsville city, AL","Huntsville, AL",10511,1
1,35773,37000,AL,"Huntsville city, AL","Toney, AL",109,1
1,35801,37000,AL,"Huntsville city, AL","Huntsville, AL",21508,1
1,35802,37000,AL,"Huntsville city, AL","Huntsville, AL",21291,1
1,35803,37000,AL,"Huntsville city, AL","Huntsville, AL",24796,1
1,35805,37000,AL,"Huntsville city, AL","Huntsville, AL",22498,1
1,35806,37000,AL,"Huntsville city, AL","Huntsville, AL",10646,1
1,35810,37000,AL,"Huntsville city, AL","Huntsville, AL",28943,1
1,35811,37000,AL,"Huntsville city, AL","Huntsville, AL",9422,1
1,35816,37000,AL,"Huntsville city, AL","Huntsville, AL",15228,1
1,35824,37000,AL,"Huntsville city, AL","Huntsville, AL",6016,1
1,35896,37000,AL,"Huntsville city, AL","Huntsville, AL",636,1
1,35901,28696,AL,"Gadsden city, AL","Gadsden, AL",14924,1
1,35903,28696,AL,"Gadsden city, AL","Gadsden, AL",10264,1
1,35904,28696,AL,"Gadsden city, AL","Gadsden, AL",11590,1
1,35906,28696,AL,"Gadsden city, AL","Rainbow City, AL",78,1
1,36043,51000,AL,"Montgomery city, AL","Hope Hull, AL",352,1
1,36064,51000,AL,"Montgomery city, AL","Pike Road, AL",178,1
1,36104,51000,AL,"Montgomery city, AL","Montgomery, AL",9444,1
1,36105,51000,AL,"Montgomery city, AL","Montgomery, AL",10606,1
1,36106,51000,AL,"Montgomery city, AL","Montgomery, AL",15211,1
1,36107,51000,AL,"Montgomery city, AL","Montgomery, AL",9589,1
1,36108,51000,AL,"Montgomery city, AL","Montgomery, AL",19518,1
1,36109,51000,AL,"Montgomery city, AL","Montgomery, AL",24777,1
1,36110,51000,AL,"Montgomery city, AL","Montgomery, AL",11596,1
1,36111,51000,AL,"Montgomery city, AL","Montgomery, AL",12176,1
1,36112,51000,AL,"Montgomery city, AL","Montgomery, AL",553,1
1,36113,51000,AL,"Montgomery city, AL","Montgomery, AL",1902,1
1,36115,51000,AL,"Montgomery city, AL","Montgomery, AL",623,1
1,36116,51000,AL,"Montgomery city, AL","Montgomery, AL",42234,1
1,36117,51000,AL,"Montgomery city, AL","Montgomery, AL",47005,1
1,36201,1852,AL,"Anniston city, AL","Anniston, AL",9036,0.886
1,36201,57576,AL,"Oxford city, AL","Anniston, AL",1166,0.114
1,36203,1852,AL,"Anniston city, AL","Oxford, AL",144,0.009
1,36203,57576,AL,"Oxford city, AL","Oxford, AL",16520,0.991
1,36205,1852,AL,"Anniston city, AL","Anniston, AL",635,1
1,36206,1852,AL,"Anniston city, AL","Saks, AL",1922,1
1,36207,1852,AL,"Anniston city, AL","Anniston, AL",11369,0.938
1,36207,57576,AL,"Oxford city, AL","Anniston, AL",751,0.062
1,36260,57576,AL,"Oxford city, AL","Oxford, AL",2815,1
1,36268,57576,AL,"Oxford city, AL","Munford, AL",96,1
1,36301,21184,AL,"Dothan city, AL","Dothan, AL",26288,1
1,36303,21184,AL,"Dothan city, AL","Dothan, AL",26459,1
1,36305,21184,AL,"Dothan city, AL","Dothan, AL",11221,1
1,36312,21184,AL,"Dothan city, AL","Ashford, AL",49,1
1,36321,21184,AL,"Dothan city, AL","Cowarts, AL",130,1
1,36345,21184,AL,"Dothan city, AL","Headland, AL",186,1
1,36350,21184,AL,"Dothan city, AL","Midland City, AL",1163,1
1,36526,19648,AL,"Daphne city, AL","Daphne, AL",19891,0.994
1,36526,25240,AL,"Fairhope city, AL","Daphne, AL",121,0.006
1,36527,19648,AL,"Daphne city, AL","Spanish Fort, AL",1675,1
1,36530,26992,AL,"Foley city, AL","Elberta, AL",152,1
1,36532,19648,AL,"Daphne city, AL","Fairhope, AL",4,0
1,36532,25240,AL,"Fairhope city, AL","Fairhope, AL",15185,1
1,36535,26992,AL,"Foley city, AL","Foley, AL",14461,1
1,36542,26992,AL,"Foley city, AL","Gulf Shores, AL",5,0.001
1,36542,32272,AL,"Gulf Shores city, AL","Gulf Shores, AL",9738,0.999
1,36559,25240,AL,"Fairhope city, AL","Montrose, AL (PO Boxes)",20,1
1,36561,32272,AL,"Gulf Shores city, AL","Orange Beach, AL",3,1
1,36571,50000,AL,"Mobile city, AL","Saraland, AL",3,1
1,36582,50000,AL,"Mobile city, AL","Theodore, AL",1887,1
1,36602,50000,AL,"Mobile city, AL","Mobile, AL",1057,1
1,36603,50000,AL,"Mobile city, AL","Mobile, AL",7922,1
1,36604,50000,AL,"Mobile city, AL","Mobile, AL",10456,1
1,36605,50000,AL,"Mobile city, AL","Mobile, AL",29017,1
1,36606,50000,AL,"Mobile city, AL","Mobile, AL",18733,1
1,36607,50000,AL,"Mobile city, AL","Mobile, AL",6852,1
1,36608,50000,AL,"Mobile city, AL","Mobile, AL",30094,1
1,36609,50000,AL,"Mobile city, AL","Mobile, AL",25846,1
1,36610,50000,AL,"Mobile city, AL","Prichard, AL",2101,1
1,36613,50000,AL,"Mobile city, AL","Prichard, AL",149,1
1,36615,50000,AL,"Mobile city, AL","Mobile, AL",391,1
1,36617,50000,AL,"Mobile city, AL","Mobile, AL",13967,1
1,36618,50000,AL,"Mobile city, AL","Mobile, AL",12611,1
1,36619,50000,AL,"Mobile city, AL","Tillmans Corner, AL",2132,1
1,36688,50000,AL,"Mobile city, AL","Mobile, AL",659,1
1,36693,50000,AL,"Mobile city, AL","Mobile, AL",17847,1
1,36695,50000,AL,"Mobile city, AL","Mobile, AL",13387,1
1,36801,3076,AL,"Auburn city, AL","Opelika, AL",106,0.005
1,36801,57048,AL,"Opelika city, AL","Opelika, AL",21655,0.995
1,36804,3076,AL,"Auburn city, AL","Opelika, AL",66,0.014
1,36804,57048,AL,"Opelika city, AL","Opelika, AL",4784,0.986
1,36830,3076,AL,"Auburn city, AL","Auburn, AL",31345,1
1,36832,3076,AL,"Auburn city, AL","Auburn, AL",17758,1
1,36849,3076,AL,"Auburn city, AL","Auburn, AL",3150,1
1,36852,57048,AL,"Opelika city, AL","Cusseta, AL",38,1
1,36879,3076,AL,"Auburn city, AL","Waverly, AL",955,1
2,99501,3000,AK,"Anchorage municipality, AK","Anchorage, AK",17603,1
2,99502,3000,AK,"Anchorage municipality, AK","Anchorage, AK",24168,1
2,99503,3000,AK,"Anchorage municipality, AK","Anchorage, AK",14553,1
2,99504,3000,AK,"Anchorage municipality, AK","Anchorage, AK",40914,1
2,99505,3000,AK,"Anchorage municipality, AK","Anchorage, AK",6174,1
2,99506,3000,AK,"Anchorage municipality, AK","Anchorage, AK",7749,1
2,99507,3000,AK,"Anchorage municipality, AK","Anchorage, AK",37850,1
2,99508,3000,AK,"Anchorage municipality, AK","Anchorage, AK",35857,1
2,99515,3000,AK,"Anchorage municipality, AK","Anchorage, AK",22441,1
2,99516,3000,AK,"Anchorage municipality, AK","Anchorage, AK",20095,1
2,99517,3000,AK,"Anchorage municipality, AK","Anchorage, AK",16645,1
2,99518,3000,AK,"Anchorage municipality, AK","Anchorage, AK",10225,1
2,99540,3000,AK,"Anchorage municipality, AK","Anchorage, AK",320,1
2,99567,3000,AK,"Anchorage municipality, AK","Anchorage, AK",9211,1
2,99577,3000,AK,"Anchorage municipality, AK","Anchorage, AK",25771,1
2,99587,3000,AK,"Anchorage municipality, AK","Anchorage, AK",2250,1
2,99701,24230,AK,"Fairbanks city, AK","Fairbanks, AK",18514,1
2,99703,24230,AK,"Fairbanks city, AK","Fairbanks, AK",7065,1
2,99709,24230,AK,"Fairbanks city, AK","College, AK",5947,1
2,99712,24230,AK,"Fairbanks city, AK","Steele Creek, AK",9,1
4,85003,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",9369,1
4,85004,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",4965,1
4,85006,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",25742,1
4,85007,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",14040,1
4,85008,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",56145,1
4,85009,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",52520,1
4,85012,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",6390,1
4,85013,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",19314,1
4,85014,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",24782,1
4,85015,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",37644,1
4,85016,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",33896,1
4,85017,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",38872,1
4,85018,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",36065,1
4,85019,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",25042,1
4,85020,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",32850,1
4,85021,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",37743,1
4,85022,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",46395,1
4,85023,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",31274,1
4,85024,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",22881,1
4,85027,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",37138,1
4,85028,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",19157,1
4,85029,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",43233,1
4,85031,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",30493,1
4,85032,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",65485,1
4,85033,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",52988,1
4,85034,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",5582,1
4,85035,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",47486,1
4,85037,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",43275,1
4,85040,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",29352,1
4,85041,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",53805,1
4,85042,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",40962,1
4,85043,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",29560,1
4,85044,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",37993,1
4,85045,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",7238,1
4,85048,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",33449,1
4,85050,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",25736,1
4,85051,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",40375,1
4,85053,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",28480,1
4,85054,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",5384,1
4,85083,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",18104,1
4,85085,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",16153,1
4,85086,55000,AZ,"Phoenix city, AZ","Anthem, AZ",8806,1
4,85087,55000,AZ,"Phoenix city, AZ","New River, AZ",2474,1
4,85120,46000,AZ,"Mesa city, AZ","Apache Junction, AZ",194,1
4,85122,10530,AZ,"Casa Grande city, AZ","Casa Grande, AZ",46063,1
4,85131,10530,AZ,"Casa Grande city, AZ","Eloy, AZ",46,1
4,85193,10530,AZ,"Casa Grande city, AZ","Casa Grande, AZ",144,1
4,85194,10530,AZ,"Casa Grande city, AZ","Casa Grande, AZ",2318,1
4,85201,46000,AZ,"Mesa city, AZ","Mesa, AZ",46084,1
4,85202,46000,AZ,"Mesa city, AZ","Mesa, AZ",37275,1
4,85203,46000,AZ,"Mesa city, AZ","Mesa, AZ",34997,1
4,85204,46000,AZ,"Mesa city, AZ","Mesa, AZ",60885,1
4,85205,46000,AZ,"Mesa city, AZ","Mesa, AZ",32653,1
4,85206,46000,AZ,"Mesa city, AZ","Mesa, AZ",29587,1
4,85207,46000,AZ,"Mesa city, AZ","Mesa, AZ",30892,1
4,85208,46000,AZ,"Mesa city, AZ","Mesa, AZ",21542,1
4,85209,46000,AZ,"Mesa city, AZ","Mesa, AZ",37030,1
4,85210,46000,AZ,"Mesa city, AZ","Mesa, AZ",36464,1
4,85212,46000,AZ,"Mesa city, AZ","Mesa, AZ",23714,1
4,85213,46000,AZ,"Mesa city, AZ","Mesa, AZ",31786,1
4,85215,46000,AZ,"Mesa city, AZ","Mesa, AZ",15938,1
4,85224,12000,AZ,"Chandler city, AZ","Chandler, AZ",42254,1
4,85225,12000,AZ,"Chandler city, AZ","Chandler, AZ",68635,1
4,85226,12000,AZ,"Chandler city, AZ","Chandler, AZ",37226,1
4,85248,12000,AZ,"Chandler city, AZ","Chandler, AZ",14934,1
4,85249,12000,AZ,"Chandler city, AZ","Chandler, AZ",34691,1
4,85250,65000,AZ,"Scottsdale city, AZ","Scottsdale, AZ",15798,1
4,85251,55000,AZ,"Phoenix city, AZ","Scottsdale, AZ",1327,0.039
4,85251,65000,AZ,"Scottsdale city, AZ","Scottsdale, AZ",33020,0.961
4,85253,55000,AZ,"Phoenix city, AZ","Paradise Valley, AZ",1443,0.369
4,85253,65000,AZ,"Scottsdale city, AZ","Paradise Valley, AZ",2463,0.631
4,85254,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",42990,0.939
4,85254,65000,AZ,"Scottsdale city, AZ","Phoenix, AZ",2811,0.061
4,85255,55000,AZ,"Phoenix city, AZ","Scottsdale, AZ",3,0
4,85255,65000,AZ,"Scottsdale city, AZ","Scottsdale, AZ",37263,1
4,85257,65000,AZ,"Scottsdale city, AZ","Scottsdale, AZ",25993,1
4,85258,65000,AZ,"Scottsdale city, AZ","Scottsdale, AZ",23342,1
4,85259,65000,AZ,"Scottsdale city, AZ","Scottsdale, AZ",21422,1
4,85260,65000,AZ,"Scottsdale city, AZ","Scottsdale, AZ",36056,1
4,85262,65000,AZ,"Scottsdale city, AZ","Scottsdale, AZ",7767,1
4,85266,65000,AZ,"Scottsdale city, AZ","Scottsdale, AZ",11241,1
4,85268,65000,AZ,"Scottsdale city, AZ","Fountain Hills, AZ",195,1
4,85281,73000,AZ,"Tempe city, AZ","Tempe, AZ",57322,1
4,85282,73000,AZ,"Tempe city, AZ","Tempe, AZ",48671,1
4,85283,73000,AZ,"Tempe city, AZ","Tempe, AZ",39290,1
4,85284,73000,AZ,"Tempe city, AZ","Tempe, AZ",16436,1
4,85286,12000,AZ,"Chandler city, AZ","Chandler, AZ",38383,1
4,85304,55000,AZ,"Phoenix city, AZ","Glendale, AZ",6212,1
4,85305,55000,AZ,"Phoenix city, AZ","Glendale, AZ",1052,1
4,85306,55000,AZ,"Phoenix city, AZ","Glendale, AZ",7587,1
4,85307,55000,AZ,"Phoenix city, AZ","Glendale, AZ",2992,1
4,85308,55000,AZ,"Phoenix city, AZ","Glendale, AZ",23424,1
4,85310,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",13151,1
4,85331,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",16205,0.999
4,85331,65000,AZ,"Scottsdale city, AZ","Phoenix, AZ",14,0.001
4,85339,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",28491,1
4,85350,85540,AZ,"Yuma city, AZ","Somerton, AZ",2421,1
4,85353,55000,AZ,"Phoenix city, AZ","Phoenix, AZ",22109,1
4,85364,85540,AZ,"Yuma city, AZ","Yuma, AZ",62862,1
4,85365,85540,AZ,"Yuma city, AZ","Yuma, AZ",27781,1
4,85383,55000,AZ,"Phoenix city, AZ","Peoria, AZ",9,1
4,85607,20050,AZ,"Douglas city, AZ","Douglas, AZ",15204,1
4,85608,20050,AZ,"Douglas city, AZ","Douglas, AZ",2174,1
4,85613,66820,AZ,"Sierra Vista city, AZ","Sierra Vista, AZ",5601,1
4,85616,66820,AZ,"Sierra Vista city, AZ","Whetstone, AZ",1,1
4,85635,66820,AZ,"Sierra Vista city, AZ","Sierra Vista, AZ",30683,1
4,85641,77000,AZ,"Tucson city, AZ","Vail, AZ",283,1
4,85650,66820,AZ,"Sierra Vista city, AZ","Sierra Vista Southeast, AZ",7603,1
4,85701,77000,AZ,"Tucson city, AZ","Tucson, AZ",4983,1
4,85704,77000,AZ,"Tucson city, AZ","Casas Adobes, AZ",875,1
4,85705,77000,AZ,"Tucson city, AZ","Tucson, AZ",41939,1
4,85706,77000,AZ,"Tucson city, AZ","Tucson, AZ",44989,1
4,85707,77000,AZ,"Tucson city, AZ","Tucson, AZ",658,1
4,85708,77000,AZ,"Tucson city, AZ","Tucson, AZ",2980,1
4,85710,77000,AZ,"Tucson city, AZ","Tucson, AZ",54439,1
4,85711,77000,AZ,"Tucson city, AZ","Tucson, AZ",41251,1
4,85712,77000,AZ,"Tucson city, AZ","Tucson, AZ",32666,1
4,85713,77000,AZ,"Tucson city, AZ","Tucson, AZ",41160,1
4,85714,77000,AZ,"Tucson city, AZ","Tucson, AZ",14978,1
4,85715,77000,AZ,"Tucson city, AZ","Tucson, AZ",15987,1
4,85716,77000,AZ,"Tucson city, AZ","Tucson, AZ",32623,1
4,85718,77000,AZ,"Tucson city, AZ","Catalina Foothills, AZ",2264,1
4,85719,77000,AZ,"Tucson city, AZ","Tucson, AZ",43989,1
4,85730,77000,AZ,"Tucson city, AZ","Tucson, AZ",37552,1
4,85741,77000,AZ,"Tucson city, AZ","Casas Adobes, AZ",426,1
4,85745,77000,AZ,"Tucson city, AZ","Tucson, AZ",27853,1
4,85746,77000,AZ,"Tucson city, AZ","Drexel Heights, AZ",17015,1
4,85747,77000,AZ,"Tucson city, AZ","Tucson, AZ",20994,1
4,85748,77000,AZ,"Tucson city, AZ","Tucson, AZ",16786,1
4,85749,77000,AZ,"Tucson city, AZ","Tanque Verde, AZ",2194,1
4,85756,77000,AZ,"Tucson city, AZ","Tucson, AZ",21232,1
4,86001,23620,AZ,"Flagstaff city, AZ","Flagstaff, AZ",33312,1
4,86004,23620,AZ,"Flagstaff city, AZ","Flagstaff, AZ",26196,1
4,86011,23620,AZ,"Flagstaff city, AZ","Flagstaff, AZ",6362,1
4,86301,57380,AZ,"Prescott city, AZ","Prescott, AZ",18194,1
4,86303,57380,AZ,"Prescott city, AZ","Prescott, AZ",12554,0.997
4,86303,57450,AZ,"Prescott Valley town, AZ","Prescott, AZ",43,0.003
4,86305,57380,AZ,"Prescott city, AZ","Prescott, AZ",8838,1
4,86313,57380,AZ,"Prescott city, AZ","Prescott, AZ",257,1
4,86314,57450,AZ,"Prescott Valley town, AZ","Prescott Valley, AZ",31482,1
4,86315,57450,AZ,"Prescott Valley town, AZ","Prescott Valley, AZ",4900,1
4,86327,57450,AZ,"Prescott Valley town, AZ","Dewey, AZ",2397,1
4,86401,37620,AZ,"Kingman city, AZ","Kingman, AZ",19671,1
4,86403,39370,AZ,"Lake Havasu City city, AZ","Lake Havasu City, AZ",15802,1
4,86404,39370,AZ,"Lake Havasu City city, AZ","Lake Havasu City, AZ",13417,1
4,86406,39370,AZ,"Lake Havasu City city, AZ","Lake Havasu City, AZ",23308,1
4,86409,37620,AZ,"Kingman city, AZ","New Kingman-Butler, AZ",8397,1
5,71601,55310,AR,"Pine Bluff city, AR","Pine Bluff, AR",16384,1
5,71602,55310,AR,"Pine Bluff city, AR","Pine Bluff, AR",6522,1
5,71603,55310,AR,"Pine Bluff city, AR","Pine Bluff, AR",26177,1
5,71901,33400,AR,"Hot Springs city, AR","Hot Springs, AR",19695,1
5,71913,33400,AR,"Hot Springs city, AR","Hot Springs National Park, AR",15498,1
5,72002,41000,AR,"Little Rock city, AR","Alexander, AR",580,1
5,72032,15190,AR,"Conway city, AR","Conway, AR",15276,1
5,72034,15190,AR,"Conway city, AR","Conway, AR",42549,1
5,72035,15190,AR,"Conway city, AR","Conway, AR",1083,1
5,72103,41000,AR,"Little Rock city, AR","Mabelvale, AR",3917,1
5,72113,50450,AR,"North Little Rock city, AR","Maumelle, AR",2651,1
5,72114,50450,AR,"North Little Rock city, AR","North Little Rock, AR",12658,1
5,72116,50450,AR,"North Little Rock city, AR","North Little Rock, AR",21071,1
5,72117,50450,AR,"North Little Rock city, AR","North Little Rock, AR",8276,1
5,72118,50450,AR,"North Little Rock city, AR","North Little Rock, AR",17417,1
5,72120,50450,AR,"North Little Rock city, AR","Sherwood, AR",81,1
5,72142,50450,AR,"North Little Rock city, AR","Scott, AR",150,1
5,72201,41000,AR,"Little Rock city, AR","Little Rock, AR",1024,1
5,72202,41000,AR,"Little Rock city, AR","Little Rock, AR",9978,1
5,72204,41000,AR,"Little Rock city, AR","Little Rock, AR",32505,1
5,72205,41000,AR,"Little Rock city, AR","Little Rock, AR",23000,1
5,72206,41000,AR,"Little Rock city, AR","Little Rock, AR",10010,1
5,72207,41000,AR,"Little Rock city, AR","Little Rock, AR",9576,1
5,72209,41000,AR,"Little Rock city, AR","Little Rock, AR",32376,1
5,72210,41000,AR,"Little Rock city, AR","Little Rock, AR",9156,1
5,72211,41000,AR,"Little Rock city, AR","Little Rock, AR",21288,1
5,72212,41000,AR,"Little Rock city, AR","Little Rock, AR",12705,1
5,72223,41000,AR,"Little Rock city, AR","Little Rock, AR",15947,1
5,72227,41000,AR,"Little Rock city, AR","Little Rock, AR",11462,1
5,72401,35710,AR,"Jonesboro city, AR","Jonesboro, AR",46553,1
5,72404,35710,AR,"Jonesboro city, AR","Jonesboro, AR",20208,1
5,72411,35710,AR,"Jonesboro city, AR","Bay, AR",87,1
5,72416,35710,AR,"Jonesboro city, AR","Bono, AR",112,1
5,72467,35710,AR,"Jonesboro city, AR","Jonesboro, AR",303,1
5,72701,23290,AR,"Fayetteville city, AR","Fayetteville, AR",33118,1
5,72703,23290,AR,"Fayetteville city, AR","Fayetteville, AR",24659,1
5,72704,23290,AR,"Fayetteville city, AR","Fayetteville, AR",14995,1
5,72712,5320,AR,"Bentonville city, AR","Bentonville, AR",35249,1
5,72718,60410,AR,"Rogers city, AR","Cave Springs, AR",94,1
5,72730,23290,AR,"Fayetteville city, AR","Farmington, AR",142,1
5,72745,60410,AR,"Rogers city, AR","Lowell, AR",264,0.576
5,72745,66080,AR,"Springdale city, AR","Lowell, AR",194,0.424
5,72756,5320,AR,"Bentonville city, AR","Rogers, AR",51,0.002
5,72756,60410,AR,"Rogers city, AR","Rogers, AR",24458,0.998
5,72758,5320,AR,"Bentonville city, AR","Rogers, AR",1,0
5,72758,60410,AR,"Rogers city, AR","Rogers, AR",31148,1
5,72762,66080,AR,"Springdale city, AR","Springdale, AR",27201,1
